step,loss_D,loss_G,loss_pixel,loss_adversarial
0,0.6930680871009827,3.0642452239990234,2.9252591133117676,0.6949310898780823
1,0.6930049657821655,2.83439302444458,2.695545196533203,0.6942387819290161
2,0.6928718686103821,2.6429994106292725,2.5042741298675537,0.6936261653900146
3,0.6927006840705872,2.540130853652954,2.4013330936431885,0.693989098072052
4,0.6925098896026611,2.426203966140747,2.287374258041382,0.694148063659668
5,0.6921727061271667,2.3680107593536377,2.229193925857544,0.694084644317627
6,0.6919859647750854,2.2918827533721924,2.1528356075286865,0.6952354907989502
7,0.6911107301712036,2.14912486076355,2.0099213123321533,0.6960176229476929
8,0.6901582479476929,2.1472396850585938,2.0077693462371826,0.6973512768745422
9,0.6878483891487122,2.0280895233154297,1.8881200551986694,0.6998476982116699
10,0.6845748424530029,2.0517728328704834,1.910687804222107,0.705425500869751
11,0.6792553663253784,1.9771666526794434,1.8341861963272095,0.7149023413658142
12,0.6682418584823608,1.912869930267334,1.7667603492736816,0.7305477857589722
13,0.6544235944747925,1.8862544298171997,1.7310456037521362,0.7760438919067383
14,0.6461712718009949,2.008720874786377,1.848451852798462,0.801344633102417
15,0.606207013130188,1.9152826070785522,1.7404911518096924,0.8739573955535889
16,0.5712515115737915,1.9114763736724854,1.7214027643203735,0.9503679275512695
17,0.5176849961280823,1.8844687938690186,1.6505224704742432,1.1697317361831665
18,0.47221842408180237,1.9020261764526367,1.6470128297805786,1.27506685256958
19,0.45076996088027954,1.9387990236282349,1.679397702217102,1.297006607055664
20,0.4600222706794739,1.9299522638320923,1.7040677070617676,1.1294230222702026
21,0.5012667775154114,1.9296993017196655,1.692561149597168,1.1856906414031982
22,0.5584835410118103,1.936384677886963,1.748023509979248,0.9418060779571533
23,0.6113264560699463,1.957352876663208,1.7847119569778442,0.8632044792175293
24,0.510316789150238,2.0898571014404297,1.8150447607040405,1.3740615844726562
25,0.493647962808609,2.060011625289917,1.82488214969635,1.1756469011306763
26,0.5091221332550049,2.0666093826293945,1.8338648080825806,1.1637232303619385
27,0.4120217561721802,2.1252989768981934,1.8833268880844116,1.2098605632781982
28,0.4432094395160675,2.173433303833008,1.939422369003296,1.170054316520691
29,0.36330902576446533,2.247145891189575,1.9177119731903076,1.6471691131591797
30,0.3101325035095215,2.257068395614624,1.9364529848098755,1.6030774116516113
31,0.28248775005340576,2.2096288204193115,1.9236263036727905,1.4300129413604736
32,0.28930696845054626,2.217822551727295,1.8866431713104248,1.6558966636657715
33,0.3567374348640442,2.244760751724243,1.9007399082183838,1.720104455947876
34,0.550831139087677,2.180042028427124,1.9587197303771973,1.1066110134124756
35,0.371242880821228,2.185443878173828,1.8500243425369263,1.6770977973937988
36,0.5084442496299744,2.290802240371704,1.9166266918182373,1.8708776235580444
37,0.45456409454345703,2.2241883277893066,1.9810220003128052,1.2158317565917969
38,0.5025050044059753,2.1890721321105957,1.9870632886886597,1.0100436210632324
39,0.3940775394439697,2.2322330474853516,1.9221922159194946,1.5502039194107056
40,0.5240418910980225,2.28682017326355,2.0017993450164795,1.425103783607483
41,0.6750514507293701,2.2337753772735596,2.0532708168029785,0.9025226831436157
42,0.48632943630218506,2.2404236793518066,2.008748769760132,1.158374309539795
43,0.5098299980163574,2.2011687755584717,1.9846340417861938,1.0826737880706787
44,0.5352534055709839,2.1723437309265137,1.9668724536895752,1.0273563861846924
45,0.42269366979599,2.1943938732147217,1.9253172874450684,1.3453830480575562
46,0.4538608491420746,2.2035796642303467,1.9618899822235107,1.2084481716156006
47,0.3052610754966736,2.212374210357666,1.9377789497375488,1.372976303100586
48,0.36916691064834595,2.254991292953491,1.9703060388565063,1.423426628112793
49,0.38059768080711365,2.2318949699401855,2.004704713821411,1.135951280593872
