step,loss_D,loss_G,loss_pixel,loss_adversarial
0,0.69305020570755,1.2135910987854004,1.0747007131576538,0.6944518089294434
1,0.6924861669540405,1.022521734237671,0.8837090134620667,0.6940635442733765
2,0.6915462017059326,0.8961211442947388,0.7574835419654846,0.693187952041626
3,0.6909492611885071,0.7964083552360535,0.6572747826576233,0.6956678628921509
4,0.6896070241928101,0.7236500978469849,0.5839629173278809,0.69843590259552
5,0.6872071027755737,0.6580333113670349,0.5181065201759338,0.6996338367462158
6,0.6815716028213501,0.6430392265319824,0.5024860501289368,0.7027658224105835
7,0.6807042360305786,0.6064218282699585,0.46426522731781006,0.7107831239700317
8,0.6565669775009155,0.5713947415351868,0.4278896450996399,0.7175254821777344
9,0.6447886228561401,0.5578082799911499,0.41041672229766846,0.7369577288627625
10,0.6083061695098877,0.5471088886260986,0.39487698674201965,0.7611596584320068
11,0.6443601250648499,0.5380182862281799,0.38289499282836914,0.775616466999054
12,0.5834779739379883,0.5336591601371765,0.3758077621459961,0.7892570495605469
13,0.530633270740509,0.5287386178970337,0.3730941712856293,0.7782222032546997
14,0.4247463643550873,0.5438594222068787,0.36405447125434875,0.8990248441696167
15,0.5573495626449585,0.520363450050354,0.3964919149875641,0.6193578243255615
16,0.6663542985916138,0.5040478706359863,0.4091309905052185,0.47458451986312866
17,0.6655703186988831,0.5169448852539062,0.39075908064842224,0.6309289336204529
18,0.5521117448806763,0.5381391644477844,0.39727142453193665,0.7043386697769165
19,0.551369845867157,0.5491837859153748,0.43537527322769165,0.5690426826477051
20,0.5862308740615845,0.580298125743866,0.41972512006759644,0.8028649091720581
21,0.5887115597724915,0.5921229124069214,0.4327520728111267,0.7968541979789734
22,0.5012498497962952,0.6033291816711426,0.39869430661201477,1.0231742858886719
23,0.3866499662399292,0.5971665382385254,0.3971562385559082,1.000051498413086
24,0.39933404326438904,0.6078152656555176,0.3633171319961548,1.2224907875061035
25,0.41243788599967957,0.6005645394325256,0.36317211389541626,1.1869621276855469
26,0.28917935490608215,0.5912261009216309,0.36464789509773254,1.1328911781311035
27,0.3061192035675049,0.6021438837051392,0.3652053773403168,1.1846925020217896
28,0.44547706842422485,0.6188329458236694,0.40912187099456787,1.0485552549362183
29,0.28848642110824585,0.6153100728988647,0.4165560007095337,0.9937702417373657
30,0.2926549017429352,0.6421703100204468,0.4045841693878174,1.1879305839538574
31,0.3586413264274597,0.6986825466156006,0.3911236524581909,1.5377943515777588
32,0.255641907453537,0.6932599544525146,0.4249984622001648,1.3413074016571045
33,0.2467195689678192,0.679060697555542,0.42436590790748596,1.2734739780426025
34,0.45978018641471863,0.7321524620056152,0.4217619299888611,1.5519524812698364
35,0.19367800652980804,0.7042701244354248,0.4176892936229706,1.4329041242599487
36,0.9715995192527771,0.49955546855926514,0.42454278469085693,0.37506335973739624
37,0.41744694113731384,0.668287992477417,0.3987656533718109,1.347611665725708
38,0.48516595363616943,0.8710235953330994,0.3917994201183319,2.39612078666687
39,0.42828068137168884,1.0135984420776367,0.39558690786361694,3.090057849884033
40,0.3917360305786133,0.9140912294387817,0.4071928560733795,2.534491539001465
41,0.7849705815315247,0.671238124370575,0.4341263175010681,1.1855590343475342
42,0.7261034846305847,0.7587356567382812,0.45162975788116455,1.535529375076294
43,0.6136603355407715,0.6928544044494629,0.544920027256012,0.7396719455718994
44,0.4287723898887634,0.7328319549560547,0.6328871846199036,0.49972379207611084
45,1.310906171798706,0.8034942746162415,0.747742772102356,0.2787574529647827
46,0.7818015813827515,0.9724255204200745,0.6531931161880493,1.596161961555481
47,0.6314411163330078,1.026610016822815,0.7303093671798706,1.4815030097961426
48,0.7658147811889648,1.0386615991592407,0.7384147047996521,1.5012346506118774
49,0.5112428069114685,1.0308810472488403,0.6132439970970154,2.0881853103637695
50,0.4336792826652527,0.798322319984436,0.4360274374485016,1.8114745616912842
51,0.19789648056030273,0.7685049772262573,0.3964148759841919,1.8604505062103271
52,0.34397393465042114,0.7010006308555603,0.3712271451950073,1.6488673686981201
53,0.5181726217269897,0.5847486257553101,0.36187031865119934,1.114391565322876
54,0.6090500354766846,0.6259452700614929,0.36079028248786926,1.325774908065796
55,0.5019890666007996,0.6446787714958191,0.3423112630844116,1.5118374824523926
56,0.6699782609939575,0.7524491548538208,0.3672981858253479,1.9257546663284302
57,0.2444319725036621,0.7220563888549805,0.3467257618904114,1.8766533136367798
58,0.2877337336540222,0.7522523403167725,0.3515963554382324,2.003279685974121
59,0.46442747116088867,0.6993250846862793,0.346858412027359,1.7623333930969238
60,0.2546048164367676,0.7080675363540649,0.3511359989643097,1.7846577167510986
61,0.14304783940315247,0.67580246925354,0.3427659571170807,1.66518235206604
62,0.17865946888923645,0.6912276744842529,0.33942633867263794,1.7590065002441406
63,0.17043069005012512,0.6599838733673096,0.33649665117263794,1.617436170578003
64,0.1667369306087494,0.7021775245666504,0.3421405851840973,1.8001844882965088
65,0.2881697416305542,0.6989189982414246,0.36033082008361816,1.6929408311843872
66,0.1350804716348648,0.6804367303848267,0.3598530888557434,1.602918028831482
67,0.2933998107910156,0.6952953338623047,0.3532108962535858,1.7104222774505615
68,0.23781320452690125,0.7152959704399109,0.3443616032600403,1.854671835899353
69,0.15514373779296875,0.7127781510353088,0.38963285088539124,1.6157264709472656
70,0.12797041237354279,0.705299973487854,0.383714497089386,1.6079273223876953
71,0.24084225296974182,0.7350788116455078,0.39181357622146606,1.716326117515564
72,0.1586368978023529,0.6966735124588013,0.4124046266078949,1.42134428024292
73,0.25806063413619995,0.7479578852653503,0.4625161290168762,1.4272087812423706
74,0.16793857514858246,0.7614852786064148,0.4563651382923126,1.5256006717681885
75,0.41124752163887024,0.6346184611320496,0.5745887756347656,0.30014854669570923
76,0.48788851499557495,0.8947902917861938,0.5805016160011292,1.5714434385299683
77,0.23282846808433533,0.8701883554458618,0.6065784692764282,1.3180493116378784
78,0.7796590924263,0.9021385908126831,0.7767588496208191,0.6268987655639648
79,0.23544995486736298,1.247182011604309,0.8926234245300293,1.7727928161621094
80,0.25189006328582764,1.3940078020095825,0.8508724570274353,2.7156765460968018
81,0.4182325303554535,1.135061264038086,0.6140061616897583,2.6052756309509277
82,0.28748616576194763,0.6631149053573608,0.37611544132232666,1.4349970817565918
83,0.7656726837158203,0.6219202280044556,0.3968462646007538,1.125369906425476
84,0.5548752546310425,0.5299990177154541,0.39150694012641907,0.6924604177474976
85,0.5689499378204346,0.6430577039718628,0.37220144271850586,1.3542810678482056
86,0.344778835773468,0.9563003182411194,0.3747028112411499,2.907987356185913
87,0.2374686598777771,0.6177016496658325,0.37842631340026855,1.1963768005371094
88,0.27627700567245483,0.8040636777877808,0.359872430562973,2.220956325531006
89,0.22074353694915771,0.8129822015762329,0.3700858950614929,2.2144813537597656
90,0.25742727518081665,0.9532066583633423,0.3711145520210266,2.9104604721069336
91,0.20061089098453522,1.0559982061386108,0.3676290214061737,3.441845655441284
92,0.0709308311343193,1.0708853006362915,0.38520118594169617,3.4284207820892334
93,0.15839485824108124,1.0727766752243042,0.3773442804813385,3.4771621227264404
94,0.15960168838500977,1.0066347122192383,0.38439491391181946,3.111198902130127
95,0.4516593813896179,0.9813069105148315,0.37427201867103577,3.0351743698120117
96,0.11580111086368561,1.0820355415344238,0.35296499729156494,3.645352363586426
97,0.030475638806819916,1.0401111841201782,0.36928388476371765,3.3541364669799805
98,0.03880603611469269,0.9988918304443359,0.36966899037361145,3.146113872528076
99,0.0539001002907753,0.9380836486816406,0.36932307481765747,2.8438029289245605
100,0.08655235171318054,0.9487271308898926,0.3689734935760498,2.898768186569214
101,0.04551041126251221,0.9167379140853882,0.36195874214172363,2.773895740509033
102,0.14612066745758057,0.8757306337356567,0.3475945293903351,2.6406805515289307
103,0.04146222770214081,1.043766736984253,0.35608208179473877,3.4384231567382812
104,0.050920404493808746,0.9713749885559082,0.36385783553123474,3.037585496902466
105,0.08385959267616272,0.9785059690475464,0.34842270612716675,3.150416374206543
106,0.024942373856902122,0.9540878534317017,0.3585767149925232,2.977555513381958
107,0.0987241119146347,0.9997187852859497,0.35379138588905334,3.2296371459960938
108,0.16184043884277344,0.9773275852203369,0.352742999792099,3.1229231357574463
109,0.060731448233127594,0.9348325133323669,0.3516778349876404,2.915773391723633
110,0.034582532942295074,0.9251402616500854,0.33760133385658264,2.9376943111419678
111,0.031048212200403214,0.9484145641326904,0.3414424955844879,3.034860134124756
112,0.09423834085464478,0.9194502830505371,0.34212806820869446,2.886610984802246
113,0.6484099626541138,0.9297357201576233,0.3362213373184204,2.967571973800659
114,0.5119863748550415,0.9130236506462097,0.3226814270019531,2.9517109394073486
115,0.20796170830726624,0.9024912118911743,0.3351401388645172,2.8367555141448975
116,0.05840568616986275,0.8749712705612183,0.3125457167625427,2.8121278285980225
117,0.07430069148540497,0.8567867279052734,0.3130606412887573,2.718630313873291
118,0.07663574814796448,0.8558643460273743,0.32318294048309326,2.6634068489074707
119,0.04274659976363182,0.8551954030990601,0.3170686662197113,2.690633773803711
120,0.04002884402871132,0.8683735132217407,0.31973811984062195,2.7431766986846924
121,0.12992297112941742,0.858126163482666,0.31359830498695374,2.7226390838623047
122,0.08124805241823196,0.8751164674758911,0.32083457708358765,2.771409273147583
123,0.03926144540309906,0.8830326795578003,0.3220832645893097,2.8047468662261963
124,0.05300247296690941,0.8635549545288086,0.31940922141075134,2.720728635787964
125,0.04510504752397537,0.9063447713851929,0.3173997104167938,2.944725513458252
126,0.04033514857292175,0.8970556259155273,0.3194769024848938,2.8878936767578125
127,0.03550870344042778,0.8818007707595825,0.3136892020702362,2.84055757522583
